loc_name,QR_displayed,number
Bumthang,NO,8
Bumthang,YES,29
Chukha,NO,8
Chukha,YES,37
Dagana,NO,3
Dagana,YES,24
Gedu,NO,5
Gelephu,NO,68
Gelephu,YES,159
Haa,NO,2
Haa,YES,13
Lhuentsi,NO,2
Lhuentsi,YES,5
Mongar,NO,1
Mongar,YES,30
Nganglam,NO,1
Nganglam,YES,7
Paro,NO,3
Paro,YES,100
Phuentsholing,NO,75
Phuentsholing,YES,1
Phuentsholing,YES,122
Punakha,NO,40
Punakha,YES,1
Punakha,YES,55
Samdrup Jongkhar,YES,17
Samtse,YES,28
Thimphu,NO,134
Thimphu,YES,616
Trashi Yangtse,NO,4
Trashi Yangtse,YES,89
Trashigang,YES,48
Trongsa,YES,17
Tsirang,NO,28
Tsirang,YES,108
Wangdue,NO,1
Wangdue,YES,64
Zhemgang,YES,2
