loc_name,QR_displayed,number
Bumthang,NO,12
Bumthang,YES,32
Chukha,NO,11
Chukha,YES,45
Dagana,NO,4
Dagana,YES,24
Gedu,YES,5
Gelephu,NO,68
Gelephu,YES,159
Haa,NO,2
Haa,YES,15
Lhuentsi,NO,2
Lhuentsi,YES,5
Mongar,NO,3
Mongar,YES,42
Nganglam,NO,1
Nganglam,YES,7
Paro,NO,3
Paro,YES,100
Phuentsholing,NO,35
Phuentsholing,YES,184
Punakha,NO,69
Punakha,YES,159
Samdrup Jongkhar,YES,17
Samtse,YES,35
Thimphu,NO,199
Thimphu,YES,769
Trashi Yangtse,NO,5
Trashi Yangtse,YES,111
Trashigang,YES,63
Trongsa,YES,17
Tsirang,NO,18
Tsirang,YES,69
Wangdue,NO,14
Wangdue,YES,144
Zhemgang,YES,2
