date,total_taxis_insp
2020-05-19T00:00:00Z,906
2020-05-20T00:00:00Z,1274
2020-05-21T00:00:00Z,1508
2020-05-22T00:00:00Z,1376
2020-05-23T00:00:00Z,1389
2020-05-24T00:00:00Z,1473
2020-05-25T00:00:00Z,1581
2020-05-26T00:00:00Z,1722
2020-05-27T00:00:00Z,1832
2020-05-28T00:00:00Z,1827
2020-05-29T00:00:00Z,1886
2020-05-30T00:00:00Z,1955
2020-05-31T00:00:00Z,1901
2020-06-01T00:00:00Z,2038
2020-06-02T00:00:00Z,2115
2020-06-03T00:00:00Z,2175
2020-06-04T00:00:00Z,2302
2020-06-05T00:00:00Z,2302
2020-06-06T00:00:00Z,2450
2020-06-08T00:00:00Z,2459
2020-06-08T00:00:00Z,2459
2020-06-09T00:00:00Z,2517
2020-06-09T00:00:00Z,2517
2020-06-09T00:00:00Z,2517
