Loc_name,id
Thimphu,1aVTtPwS8MAAjkgjs0oh77hqaj3Srr82Zg1UDhvA5foU
Phuentsholing,1EiUEgkWqzLNkbos5eT_uDrkpaZt2rpgpwG79uWwu000
Wangdue,12N3Zq5MppzAmPe6cw4PanPHXDy3J9YgsfrDvN756DrI
Punakha,1nxU2xvf8GhQtHqo2tPPQjEd5Nkt8581apcY8mc6lHNU
Haa,1EnWIloVttQxr1e1vuujzEDD8hO-w-ev7Ak7IpqR23PM
Mongar,1P1pu1PJVErOL5j3_5-qJ4B8rx1g9Nv7Th41uKYtrwdU
Trashi Yangtse,1mJv4DPlraQqA981zggmYntdh4EcZ6oO7-Qbv8KayWqY
Chukha,1qJaMDUB8fbRTqKtg0or4tDdfH16jyKWspWiX6ZyTeV0
Bumthang,1gw75463hsjE2_IbH-lH6LaVHuSWBaiqwpSepc8fwgJo
Paro,1uo3LOKoVjW658xnNNKxqPgAmKW9K0I6q1c3HEOjN2vo
Gedu,15DUhOrj8OCopM7djnAMNHyYmeDfAglbMSty8hJj9L2g
Dagana,1eSKoBqsxDQ27BH8psjZHiOkjtC5ofANL7ZDryOzHk-Y
Samdrup Jongkhar,1LpaRO3XpsqCK9kc8iDDkPok9OIoWudf2EkT9UUkFfuM
Zhemgang,1N5OlJ9kylJVU_1kfDXf0B7rIyNz8iZVJpBIHA7Tr7o4
Tsirang,1dDUwU8STSd-eTyC5sSeBh7ipYBmHDKXuu9D3uknyFxA
Trongsa,1tWf8leUaHE9uOx-w05p5I3kcHd2dXtxy6bPtmbXGdbQ
Trashigang,1dM1cJ3SYSwq03p7MbJATOkJQGkMnAt0CJQDggE7BY_A
Samtse,1WjZCP0Q7wy_5F5mV-6WY0ZVirJHJOWc8YeoKY1FJqWI
Pemagatshel,1IEMJrxZAcouhvxS6ib8FgbLv6BhR5GrOeostIPJYgLk
Nganglam,1gofO1UkIxIbJHCi4TtNc8hKFgDgSWW6_WHWx8LcCLpw
Lhuentsi,1BOimuVLqVU1RPp5nnal7gKviklTNnxAQbyDTM6pbXqM
Gelephu,1oYsRct8PXn4pGy8HzURZvZP19RFytpxOo59-DjQHfSg
